basDt,srtnCd,fndNm,ctg,setpDt,fndTp,prdClsfCd,asoStdCd
20260511,D4247,삼성 글로벌 EMP 적격TDF 2040 증권자투자신탁[주식혼합-재간접형]_C-Pe,자산운용,20200522,재간접,161236120360211ZZZZC,K55105D42473
20260511,D4326,삼성 글로벌 EMP 적격TDF 2055 증권자투자신탁[주식혼합-재간접형]_C-Pe,자산운용,20200522,재간접,161236120360211ZZZZC,K55105D43265
20260511,26377,iM에셋 퇴직연금 40 증권자투자신탁 1호(채권혼합),자산운용,20100507,혼합채권형,14113Z120600121ZZ114,KR5368263772
20260511,CZ596,카디안 K단기채알파증권투자신탁[채권혼합] 클래스 C-F,자산운용,20200128,혼합채권형,14111712001012111ZZ5,K55229CZ5969
20260511,CZ571,카디안 K단기채알파증권투자신탁[채권혼합],자산운용,20200128,혼합채권형,14111112001012111ZZ5,K55229CZ5712
20260511,CK801,미래에셋AI글로벌모멘텀혼합자산자투자신탁(재간접형)종류C-e,자산운용,20200331,혼합자산,1912361200102ZZZZZZD,K55301CK8011
20260511,BU441,미래에셋퇴직플랜농산물안정형증권자투자신탁(채권혼합) 종류C-P2e,자산운용,20180320,혼합채권형,141336120602331ZZZZ4,K55301BU4415
20260511,A2290,NH-Amundi 성장 중소형주 증권투자신탁[주식] Class C4,자산운용,20180131,주식형,12111412001011113111,KR5232A22909
20260511,C4896,KB 주주가치 포커스 증권 투자신탁(주식) C3,자산운용,20200312,주식형,12111412001011511112,K55223C48960
20260511,BR949,NH-Amundi 성장 중소형주 증권투자신탁[주식]Class AG,자산운용,20180214,주식형,12111G12011011313111,K55232BR9496
20260511,D4300,삼성 글로벌 EMP 적격TDF 2045 증권자투자신탁[주식혼합-재간접형]_Cpe(퇴직연금),자산운용,20200525,재간접,161236120600211ZZZZC,K55105D43000
20260511,D4329,삼성 글로벌 EMP 적격TDF 2055 증권자투자신탁[주식혼합-재간접형]_Cpe(퇴직연금),자산운용,20200525,재간접,161236120600211ZZZZC,K55105D43299
20260511,D3893,삼성 글로벌 EMP TDF증권투자신탁[채권혼합-재간접형]_Cpe(퇴직연금),자산운용,20200525,재간접,161216120600221ZZZZD,K55105D38935
20260511,D3652,iM에셋 글로벌 리얼인컴 EMP 증권투자신탁(H)(혼합-재간접형) A,자산운용,20200518,재간접,161212120010221ZZZZD,K55368D36529
20260511,D4327,삼성 글로벌 EMP 적격TDF 2055 증권자투자신탁[주식혼합-재간접형]_Cp(퇴직연금),자산운용,20200525,재간접,16123A120600211ZZZZC,K55105D43273
20260511,CZ581,카디안 K단기채알파증권투자신탁[채권혼합] 클래스 C-E,자산운용,20200318,혼합채권형,14111612001012111ZZ5,K55229CZ5811
20260511,D4248,삼성 글로벌 EMP 적격TDF 2040 증권자투자신탁[주식혼합-재간접형]_Cp(퇴직연금),자산운용,20200525,재간접,16123A120600211ZZZZC,K55105D42481
20260511,D4299,삼성 글로벌 EMP 적격TDF 2045 증권자투자신탁[주식혼합-재간접형]_Cp(퇴직연금),자산운용,20200525,재간접,16123A120600211ZZZZC,K55105D42994
20260511,D4249,삼성 글로벌 EMP 적격TDF 2040 증권자투자신탁[주식혼합-재간접형]_Cpe(퇴직연금),자산운용,20200525,재간접,161236120600211ZZZZC,K55105D42499
20260511,D4333,삼성 글로벌 EMP 적격TDF 2055 증권자투자신탁[주식혼합-재간접형]_S-P(퇴직연금),자산운용,20200601,재간접,16123E120600211ZZZZC,K55105D43331
20260511,D4304,삼성 글로벌 EMP 적격TDF 2045 증권자투자신탁[주식혼합-재간접형]_S-P(퇴직연금),자산운용,20200601,재간접,16123E120600211ZZZZC,K55105D43042
20260511,D4253,삼성 글로벌 EMP 적격TDF 2040 증권자투자신탁[주식혼합-재간접형]_S-P(퇴직연금),자산운용,20200601,재간접,16123E120600211ZZZZC,K55105D42531
20260511,BP130,한국밸류10년투자증권투자신탁1호(채권혼합)종류A-G,자산운용,20191004,혼합채권형,14111G12001012211ZZ4,K55236BP1301
20260511,CK813,미래에셋AI글로벌모멘텀혼합자산자투자신탁(재간접형)종류C-P2e,자산운용,20191002,혼합자산,1912361206002ZZZZZZD,K55301CK8136
20260511,CW642,미래에셋코어테크증권자투자신탁(주식) 종류C-e,자산운용,20191023,주식형,12113612001011511ZZ1,K55301CW6425
20260511,D4332,삼성 글로벌 EMP 적격TDF 2055 증권자투자신탁[주식혼합-재간접형]_S-P,자산운용,20200529,재간접,16123E120360211ZZZZC,K55105D43323
20260511,C5709,현대인베스트 코스닥 벤처 증권투자신탁1호(주식혼합)C-e,자산운용,20180405,혼합주식형,13111612001011131ZZ1,K55239C57090
20260511,CJ527,NH-Amundi USD 초단기채권 증권자투자신탁(UH)[채권] Class C-P1e(연금저축),자산운용,20190125,채권형,11123612036023121ZZ4,K55232CJ5279
